x1 ,x2,x3,x4,y
0,0,0.1,0.5,seek
0.1,0.5,0.2,0.2, read
0.2,0.2,0.5,0.3,read
0.5,0.3,0.5,0.3,write
0.5,0.3,0.5,0.7,close
0.5,0.7,0.9,0.5,ED
0,0,0.1,0.5,read
0.1,0.5,0.5,0.3,write
0.5,0.3,0.5,0.7,read
0.5,0.7,0.5,0.3,write
0.5,0.3,0.5,0.7,read
0.5,0.7,0.5,0.3,write
0.5,0.3,0.5,0.7,close
0.5,0.7,0.9,0.5,ED
0,0,0.1,0.5,write
0.1,0.5,0.5,0.7,write
0.5,0.7,0.5,0.7,write
0.5,0.7,0.5,0.7,close
0.5,0.7,0.9,0.5,ED
0,0,0.1,0.5,read
0.1,0.5,0.5,0.3,close
0.5,0.3,0.9,0.5,open
0.9,0.5,0.1,0.5,write
0.1,0.5,0.5,0.7, close
0.5,0.7,0.9,0.5,ED
0,0,0.2,0.2,read
0.2,0.2,0.5,0.3,write
0.5,0.3,0.5,0.7,ED
0,0,0.1,0.5,eof
0.1,0.5,0.5,0.5,read
0.5,0.5,0.5,0.3,close
0.5,0.3,0.9,0.5,ED
0,0,0.1,0.5,seek
0.1,0.5,0.2,0.2,read
0.2,0.2,0.5,0.3,seek
0.5,0.3,0.2,0.2,read
0.2,0.2,0.5,0.3,close
0.5,0.3,0.9,0.5,ED
0,0,0.5,0.5,read
0.5,0.5,0.5,0.3,ED
0,0,0.1,0.5,seek
0.1,0.5,0.2,0.2,write
0.2,0.2,0.5,0.7,write
0.5,0.7,0.5,0.7,write
0.5,0.7,0.5,0.7,close
0.5,0.7,0.9,0.5,ED
0,0,0.1,0.5,seek
0.1,0.5,0.2,0.2,read
0.2,0.2,0.5,0.3,write
0.5,0.3,0.5,0.7,seek
0.5,0.7,0.2,0.2,read
0.2,0.2,0.5,0.3,write
0.5,0.3,0.5,0.7,close
0.5,0.7,0.9,0.5,ED
